TEXT;ES;EN
Música de fondo predeterminada para los combates de entrenadores en este mapa.;Música de fondo predeterminada para los combates de entrenadores en este mapa.;Default background music for trainer battles on this map.
Música de fondo predeterminada reproducida después de ganar un combate de Pokémon salvajes en este mapa.;Música de fondo predeterminada reproducida después de ganar un combate de Pokémon salvajes en este mapa.;Default background music played after winning a wild Pokémon battle on this map.
Música de fondo predeterminada reproducida después de ganar un combate de entrenador en este mapa.;Música de fondo predeterminada reproducida después de ganar un combate de entrenador en este mapa.;Default background music played after winning a trainer match on this map.
Efecto musical predeterminado que se reproduce después de capturar un Pokémon salvaje en este mapa.;Efecto musical predeterminado que se reproduce después de capturar un Pokémon salvaje en este mapa.;Default music effect that plays after catching a wild Pokémon on this map.
El ancho del mapa en los cuadrados del mapa de la ciudad y una cadena que indica qué cuadrados forman parte de este mapa.;El ancho del mapa en los cuadrados del mapa de la ciudad y una cadena que indica qué cuadrados forman parte de este mapa.;The width of the map in the city map squares and a string indicating which squares are part of this map.
El entorno de batalla predeterminado para los combates en este mapa.;El entorno de batalla predeterminado para los combates en este mapa.;The default battle environment for combat on this map.
Palabras/frases que distinguen este mapa de otros.;Palabras/frases que distinguen este mapa de otros.;Words/phrases that distinguish this map from others.
¡Ha empezado a granizar!;¡Ha empezado a granizar!;It's started to hail!
¡El sol que hace ahora es realmente abrasador!;¡El sol que hace ahora es realmente abrasador!;The sun is really scorching now!
¡Ha empezado a diluviar!;¡Ha empezado a diluviar!;It's started to pour!
¡Las misteriosas turbulencias protegen a los Pokémon de tipo Volador!;¡Las misteriosas turbulencias protegen a los Pokémon de tipo Volador!;Mysterious turbulence protects Flying-type Pokémon!
¡El cielo se volvió oscuro!;¡El cielo se volvió oscuro!;The sky turned dark!
¡El sol vuelve a brillar como siempre!;¡El sol vuelve a brillar como siempre!;The sun shines again as always!
¡Ha dejado de llover!;¡Ha dejado de llover!;It's stopped raining!
¡Ha dejado de granizar!;¡Ha dejado de granizar!;It's stopped hailing!
El cielo sombrío se desvaneció.;El cielo sombrío se desvaneció.;The gloomy sky faded away.
El entrenador rival {1} no tiene una posición asignada para que sus Pokémon combatan (intentando una batalla {2} contra {3});El entrenador rival {1} no tiene una posición asignada para que sus Pokémon combatan (intentando una batalla {2} contra {3});Opposing trainer {1} does not have an assigned position for his Pokémon to battle (attempt a battle {2} against {3})
¡No te quedan Pokémon!;¡No te quedan Pokémon!;You have no Pokémon left!
¡{1} ha aprendido {2}!;¡{1} ha aprendido {2}!;{1} has learned {2}!
¡Buen trabajo, {1}! ¡Regresa!;¡Buen trabajo, {1}! ¡Regresa!;Good job, {1}! Come back!
¡{1}, es suficiente! ¡Regresa!;¡{1}, es suficiente! ¡Regresa!;{1}, that's enough! Come back!
¡Tu oponente está débil! ¡A por él, {1}!;¡Tu oponente está débil! ¡A por él, {1}!;Your opponent is weak! Go for it, {1}!
¡Oh!\n¡Un Pokémon Oscuro!;¡Oh!\n¡Un Pokémon Oscuro!;Oh!\nA Dark Pokémon!
¡El deseo de curación se hizo realidad para {1}!;¡El deseo de curación se hizo realidad para {1}!;Healing wish came true for {1}!
Abandonar el combate es lo mismo que perderlo. ¿Estás seguro?;Abandonar el combate es lo mismo que perderlo. ¿Estás seguro?;Leaving the fight is the same as losing it. You're sure?
¡La {2} de {1} está reaccionando al {4} de {3}!;¡La {2} de {1} está reaccionando al {4} de {3}!;The {2} of {1} is reacting to the {4} of {3}!
¡{1} ha experimentado una Regresión Primigenia y ha recobrado su apariencia primitiva!;¡{1} ha experimentado una Regresión Primigenia y ha recobrado su apariencia primitiva!;{1} has undergone a Primal Regression and has regained its primitive appearance!
Sigue granizando.;Sigue granizando.;It keeps hailing.
¡El deseo de {1} se ha hecho realidad!;¡El deseo de {1} se ha hecho realidad!;{1}'s wish has come true!
{1} ha recuperado PS gracias a {2}.;{1} ha recuperado PS gracias a {2}.;{1} has recovered HP thanks to {2}.
{1} robó y comió la {2} de su objetivo!;{1} robó y comió la {2} de su objetivo!;{1} stole and ate his target's {2}!
El arcoíris sobre {1} ha desaparecido.;El arcoíris sobre {1} ha desaparecido.;The rainbow over {1} has disappeared.
No se puede obtener la estadística con etapas para {1}.;No se puede obtener la estadística con etapas para {1}.;Unable to get staging statistic for {1}.
¡No afecta a {1} gracia a su {2}!;¡No afecta a {1} gracia a su {2}!;It doesn't affect {1} thanks to your {2}!
{1} se ancla!;{1} se ancla!;{1} anchors!
{1} se ancla con {2}!;{1} se ancla con {2}!;{1} is anchored with {2}!
{1} se ancla con sus raíces!;{1} se ancla con sus raíces!;{1} is anchored with its roots!
¡{1} permanece despierto por la habilidad {2}!;¡{1} permanece despierto por la habilidad {2}!;{1} stays awake due to skill {2}!
¡{1} ha sido gravemente envenenado!;¡{1} ha sido gravemente envenenado!;{1} has been severely poisoned!
¡{1} se ha curado del envenenamiento!;¡{1} se ha curado del envenenamiento!;{1} has been cured of poisoning!
¡La quemadura de {1} se ha curado!;¡La quemadura de {1} se ha curado!;{1}'s burn has healed!
¡{1} se ha curado de la parálisis!;¡{1} se ha curado de la parálisis!;{1} has been cured of paralysis!
¡{1} se ha descongelado!;¡{1} se ha descongelado!;{1} has been thawed!
¡Se ha activado {2} de {1}!;¡Se ha activado {2} de {1}!;{2} of {1} has been activated!
¡{1} es protegido por su sustituto!;¡{1} es protegido por su sustituto!;{1} is protected by his substitute!
¡El sustituto de {1} lo protegió de {3} de {2}!;¡El sustituto de {1} lo protegió de {3} de {2}!;{1}'s substitute protected him from {3} from {2}!
{1} is protected from {2};{1} is protected from {2};{1} is protected from {2}
{1} fue engullido por {2} y se convirtió en su comandante!;{1} fue engullido por {2} y se convirtió en su comandante!;{1} was swallowed by {2} and became its commander!
¡{1} de {2} le ha permitido dar {3} a {4}!;¡{1} de {2} le ha permitido dar {3} a {4}!;{1} of {2} has allowed you to give {3} to {4}!
¡{1} fue herido!;¡{1} fue herido!;{1} was wounded!
¡{1} ha evitado el ataque a tiempo con tu orden!;¡{1} ha evitado el ataque a tiempo con tu orden!;{1} avoided the attack in time with your order!
No afecta a {1} debido a {2} de {3}.;No afecta a {1} debido a {2} de {3}.;Does not affect {1} because of {2} of {3}.
¡Es supereficaz contra {1}!;¡Es supereficaz contra {1}!;It's super effective against {1}!
¡Es supereficaz!;¡Es supereficaz!;It's super effective!
No es muy eficaz contra {1}...;No es muy eficaz contra {1}...;Not very effective against {1}...
No es muy eficaz...;No es muy eficaz...;It's not very effective...
El sustituto recibió el daño por {1}!;El sustituto recibió el daño por {1}!;The substitute took the damage for {1}!
{1} <c3={2}>asestó un golpe crítico</c3> a {3} para impresionarte!;{1} <c3={2}>asestó un golpe crítico</c3> a {3} para impresionarte!;{1} <c3={2}>dealed a critical hit</c3> to {3} to impress you!
{1} <c3={2}>asestó un golpe crítico para impresionarte!</c3>;{1} <c3={2}>asestó un golpe crítico para impresionarte!</c3>;{1} <c3={2}>he dealt a critical hit to impress you!</c3>
¡<c3={1}>{2} recibió un golpe crítico!</c3>;¡<c3={1}>{2} recibió un golpe crítico!</c3>;<c3={1}>{2} received a critical hit!</c3>
<c3={1}>¡Un golpe crítico!</c3>;<c3={1}>¡Un golpe crítico!</c3>;<c3={1}>A critical hit!</c3>
¡El disfraz de {1} se ha roto!;¡El disfraz de {1} se ha roto!;{1}'s disguise is torn!
¡Se activó {2} de {1}!;¡Se activó {2} de {1}!;{2} of {1} has been activated!
¡{1} ha aguantado el golpe!;¡{1} ha aguantado el golpe!;{1} has withstood the blow!
¡{1} ha usado la Banda Aguante y ha logrado resistir!;¡{1} ha usado la Banda Aguante y ha logrado resistir!;{1} has used the Stamina Band and managed to resist!
¡{1} ha usado la Cinta Aguante y ha logrado resistir!;¡{1} ha usado la Cinta Aguante y ha logrado resistir!;{1} has used the Stamina Ribbon and managed to resist!
¡{1} ha aguantado el golpe para impresionarte!;¡{1} ha aguantado el golpe para impresionarte!;{1} has taken the hit to impress you!
Forcejeo;Forcejeo;Struggle
¡Las estadísticas de {1} no pueden aumentar más!;¡Las estadísticas de {1} no pueden aumentar más!;{1}'s stats can't increase any more!
¡Las estadísticas de {1} no pueden disminuir más!;¡Las estadísticas de {1} no pueden disminuir más!;{1}'s stats can't decrease any more!
¡Se activó {1} de {2}!;¡Se activó {1} de {2}!;{1} of {2} has been activated!
¡{1} protege {2}!;¡{1} protege {2}!;{1} protect {2}!
¡No parece que vaya a dejar de diluviar!;¡No parece que vaya a dejar de diluviar!;It doesn't look like it's going to stop pouring!
¡Los dos movimientos se han unido! ¡Es un movimiento combinado!;¡Los dos movimientos se han unido! ¡Es un movimiento combinado!;The two movements have joined together! It's a combo move!
{1} está esperando a {2}...;{1} está esperando a {2}...;{1} is waiting for {2}...
¡{1} se ve rodeado por un mar de llamas!;¡{1} se ve rodeado por un mar de llamas!;{1} finds himself surrounded by a sea of ​​flames!
¡Ha aparecido un arcoíris sobre {1}!;¡Ha aparecido un arcoíris sobre {1}!;A rainbow has appeared over {1}!
¡Ha aparecido un pantano alrededor de {1}!;¡Ha aparecido un pantano alrededor de {1}!;A swamp has appeared around {1}!
¡Felicidades de {1}!;¡Felicidades de {1}!;Congratulations from {1}!
¡Felicidades, {1}!;¡Felicidades, {1}!;Congratulations, {1}!
¡Hay monedas por todas partes!;¡Hay monedas por todas partes!;There are coins everywhere!
¡La felicidad se respira en el aire!;¡La felicidad se respira en el aire!;Happiness is in the air!
¡No puedes usar {1} dos veces seguidas!;¡No puedes usar {1} dos veces seguidas!;You can't use {1} twice in a row!
¡{1} debe comerse una baya equipada para poder eructar!;¡{1} debe comerse una baya equipada para poder eructar!;{1} must eat an equipped berry to be able to burp!
¡{1} es atacado por {2}!;¡{1} es atacado por {2}!;{1} is attacked by {2}!
¡{1} está rodeado de púas!;¡{1} está rodeado de púas!;{1} is surrounded by spikes!
¡Se han esparcido púas alrededor de los pies de {1}!;¡Se han esparcido púas alrededor de los pies de {1}!;Spikes have been scattered around {1}'s feet!
¡{1} está rodeado de púas tóxicas!;¡{1} está rodeado de púas tóxicas!;{1} is surrounded by toxic spikes!
¡Se han esparcido púas tóxicas alrededor de los pies de {1}!;¡Se han esparcido púas tóxicas alrededor de los pies de {1}!;Toxic spikes have spread around {1}'s feet!
¡{1} está rodeado de piedras puntiagudas!;¡{1} está rodeado de piedras puntiagudas!;{1} is surrounded by sharp stones!
¡Se han esparcido piedras puntiagudas alrededor de los pies de {1}!;¡Se han esparcido piedras puntiagudas alrededor de los pies de {1}!;Sharp stones have been scattered around {1}'s feet!
¡Una red viscosa se extiende a los pies de {1}!;¡Una red viscosa se extiende a los pies de {1}!;A slimy web spreads at {1}'s feet!
¡Se ha esparcido una red pegajosa alrededor de los pies de {1}!;¡Se ha esparcido una red pegajosa alrededor de los pies de {1}!;A sticky web has spread around {1}'s feet!
¡{1} ha intercambiado los efectos del campo de combate!;¡{1} ha intercambiado los efectos del campo de combate!;{1} has exchanged combat field effects!
¡{1} ya tiene un sustituto!;¡{1} ya tiene un sustituto!;{1} already has a replacement!
¡{1} ha creado un sustituto!;¡{1} ha creado un sustituto!;{1} has created a substitute!
Las piedras puntiagudas lanzadas a {1} han desaparecido.;Las piedras puntiagudas lanzadas a {1} han desaparecido.;The sharp stones thrown at {1} have disappeared.
Las púas tóxicas lanzadas a {1} han desaparecido.;Las púas tóxicas lanzadas a {1} han desaparecido.;The toxic spikes thrown at {1} have disappeared.
La red viscosa lanzada a {1} ha desaparecido.;La red viscosa lanzada a {1} ha desaparecido.;The slimy net thrown at {1} has disappeared.
¡{1} ha sido alcanzado por Deseo Oculto!;¡{1} ha sido alcanzado por Deseo Oculto!;{1} has been hit by Hidden Desire!
¡{1} previó un ataque!;¡{1} previó un ataque!;{1} foresaw an attack!
¡{1} se ha movido!;¡{1} se ha movido!;{1} has moved!
¡{1} y {2} han intercambiado sus posiciones!;¡{1} y {2} han intercambiado sus posiciones!;{1} and {2} have swapped positions!
¡{1} empieza a calentar su pico!;¡{1} empieza a calentar su pico!;{1} begins to warm up its beak!
¡{1} redujo sus PS y bajó su {2}!;¡{1} redujo sus PS y bajó su {2}!;{1} reduced his HP and lowered his {2}!
¡{1} redujo sus PS y mejoró su {2}!;¡{1} redujo sus PS y mejoró su {2}!;{1} reduced HP and improved {2}!
¡Las estadísticas de {1} no pueden alterarse más!;¡Las estadísticas de {1} no pueden alterarse más!;{1}'s stats cannot be altered any further!
¡El sustituto de {1} ha desaparecido!;¡El sustituto de {1} ha desaparecido!;The substitute for {1} is gone!
¡Las piedras puntiagudas han desaparecido del bando de {1}!;¡Las piedras puntiagudas han desaparecido del bando de {1}!;The sharp stones have disappeared from {1}'s side!
¡Las púas han desaparecido del suelo alrededor de {1}!;¡Las púas han desaparecido del suelo alrededor de {1}!;The spikes have disappeared from the ground around {1}!
¡Las púas venenosas han desaparecido del suelo alrededor de {1}!;¡Las púas venenosas han desaparecido del suelo alrededor de {1}!;The poisonous spikes have disappeared from the ground around {1}!
¡La red viscosa ha desaparecido del suelo alrededor de {1}!;¡La red viscosa ha desaparecido del suelo alrededor de {1}!;The slimy web has disappeared from the ground around {1}!
¡Limpieza completada!;¡Limpieza completada!;Cleaning completed!
¡{1} no puede escapar porque ha usado {2}!;¡{1} no puede escapar porque ha usado {2}!;{1} can't escape because he used {2}!
¡Se esparcieron monedas por todos lados!;¡Se esparcieron monedas por todos lados!;Coins were scattered everywhere!
¡{1} de {2} le evita caer enamorado!;¡{1} de {2} le evita caer enamorado!;{1} of {2} keeps him from falling in love!
¡{1} fue cubierto de jarabe de caramelo pegajoso!;¡{1} fue cubierto de jarabe de caramelo pegajoso!;{1} was covered in sticky caramel syrup!
¡{1} ha intercambiado los cambios en el Ataque y el Ataque Especial con el objetivo!;¡{1} ha intercambiado los cambios en el Ataque y el Ataque Especial con el objetivo!;{1} has swapped Attack and Special Attack changes with the target!
¡{1} ha intercambiado los cambios en la Defensa y la Defensa Especial con el objetivo!;¡{1} ha intercambiado los cambios en la Defensa y la Defensa Especial con el objetivo!;{1} has swapped Defense and Special Defense changes with the target!
¡Neblina ha cubierto a {1}!;¡Neblina ha cubierto a {1}!;Mist has covered {1}!
¡{1} cambia su velocidad por la del objetivo!;¡{1} cambia su velocidad por la del objetivo!;{1} changes its speed to the target's!
¡{1} suma su capacidad ofensiva con la del objetivo y las reparte equitativamente!;¡{1} suma su capacidad ofensiva con la del objetivo y las reparte equitativamente!;{1} adds its offensive capacity to that of the target and distributes them equally!
¡{1} suma su capacidad defensiva con la del objetivo y las reparte equitativamente!;¡{1} suma su capacidad defensiva con la del objetivo y las reparte equitativamente!;{1} adds its defensive capacity to that of the target and distributes them evenly!
¡Los combatientes comparten sus PS!;¡Los combatientes comparten sus PS!;Fighters share their HP!
¡Se ha creado un espacio en el que Defensa y Defensa Especial se invierten!;¡Se ha creado un espacio en el que Defensa y Defensa Especial se invierten!;A space has been created where Defense and Special Defense are reversed!
¡La red viscosa ha desaparecido del bando de {1}!;¡La red viscosa ha desaparecido del bando de {1}!;The slimy web has disappeared from {1}'s side!
¡{1} fue cubierto en caramelo pegajoso!;¡{1} fue cubierto en caramelo pegajoso!;{1} was covered in sticky candy!
¡Pero {1} no puede usar el movimiento!;¡Pero {1} no puede usar el movimiento!;But {1} can't use the move!
¡{1} eliminó las púas metálicas!;¡{1} eliminó las púas metálicas!;{1} removed the metal spikes!
{1} fue curado del envenenamiento.;{1} fue curado del envenenamiento.;{1} was cured of poisoning.
La quemadura de {1} fue curada.;La quemadura de {1} fue curada.;{1}'s burn was healed.
¡Ha repicado una campana!;¡Ha repicado una campana!;A bell has rung!
{1} ha cambiado a tipo {2}!;{1} ha cambiado a tipo {2}!;{1} has changed to type {2}!
¡{1} ahora es del mismo tipo que el {2}!;¡{1} ahora es del mismo tipo que el {2}!;{1} is now the same type as {2}!
¡{1} ha cambiado al tipo {2}!;¡{1} ha cambiado al tipo {2}!;{1} has changed to type {2}!
¡El fuego interior de {1} se ha extinguido!;¡El fuego interior de {1} se ha extinguido!;{1}'s inner fire has been extinguished!
¡{1} ha usado toda su electricidad!;¡{1} ha usado toda su electricidad!;{1} has used up all his electricity!
¡La habilidad de {1} ha cambiado a {2}!;¡La habilidad de {1} ha cambiado a {2}!;{1}'s ability has changed to {2}!
¡{1} copió {2} del {3}!;¡{1} copió {2} del {3}!;{1} copied {2} from {3}!
¡{1} ha intercambiado su habilidad con la de su objetivo!;¡{1} ha intercambiado su habilidad con la de su objetivo!;{1} has swapped his ability with his target!
{1} ha intercambiado su Habilidad {2} con la Habilidad {3} de su objetivo!;{1} ha intercambiado su Habilidad {2} con la Habilidad {3} de su objetivo!;{1} has swapped his Skill {2} with his target's Skill {3}!
¡Se ha anulado la Habilidad del {1}!;¡Se ha anulado la Habilidad del {1}!;{1}'s Ability has been nullified!
{1} levita con electromagnetismo!;{1} levita con electromagnetismo!;{1} levitate with electromagnetism!
¡{1} ha sido lanzado por los aires!;¡{1} ha sido lanzado por los aires!;{1} has been thrown into the air!
¡{1} ha sido derribado!;¡{1} ha sido derribado!;{1} has been shot down!
¡La gravedad se ha incrementado!;¡La gravedad se ha incrementado!;Gravity has increased!
¡{1} no ha podido mantenerse en el aire por la gravedad!;¡{1} no ha podido mantenerse en el aire por la gravedad!;{1} couldn't stay in the air due to gravity!
¡{1} está siendo curado con sal!;¡{1} está siendo curado con sal!;{1} is being cured with salt!
¡Se esparcieron púas alrededor de {1}!;¡Se esparcieron púas alrededor de {1}!;Spikes were scattered around {1}!
¡Rocas puntiagudas flotan en el aire alrededor de {1}!;¡Rocas puntiagudas flotan en el aire alrededor de {1}!;Sharp rocks float in the air around {1}!
¡No afecta a {1} por su habilidad {2}!;¡No afecta a {1} por su habilidad {2}!;It doesn't affect {1} because of its {2} ability!
¡K.O. en un golpe!;¡K.O. en un golpe!;K.O. in one fell swoop!
Las chispas también alcanzaron a {1} y {2}!;Las chispas también alcanzaron a {1} y {2}!;The sparks also hit {1} and {2}!
Las chispas también alcanzaron a {1}!;Las chispas también alcanzaron a {1}!;The sparks also hit {1}!
Magnitud {1}!;Magnitud {1}!;Magnitude {1}!
¡{1} va con todo por este ataque!;¡{1} va con todo por este ataque!;{1} goes all out for this attack!
¡{1} se prepara para resistir los ataques!;¡{1} se prepara para resistir los ataques!;{1} prepares to resist the attacks!
¡Se han debilitado los ataques de tipo Fuego!;¡Se han debilitado los ataques de tipo Fuego!;Fire-type attacks have been weakened!
¡{1} ha aumentado la resistencia de {2} ante los ataques especiales!;¡{1} ha aumentado la resistencia de {2} ante los ataques especiales!;{1} has increased {2}'s resistance to special attacks!
¡{1} ha aumentado la resistencia de {2} ante los ataques físicos y especiales!;¡{1} ha aumentado la resistencia de {2} ante los ataques físicos y especiales!;{1} has increased {2}'s resistance to physical and special attacks!
¡{1} va a usar un tatami para bloquear ataques!;¡{1} va a usar un tatami para bloquear ataques!;{1} is going to use a tatami to block attacks!
¡{1} fue identificado!;¡{1} fue identificado!;{1} was identified!
¡Electrificación hace que el siguiente movimiento de {1} sea de tipo Eléctrico!;¡Electrificación hace que el siguiente movimiento de {1} sea de tipo Eléctrico!;Electrification makes {1}'s next move an Electric type!
¡Una lluvia de electrones cae sobre el terreno de combate!;¡Una lluvia de electrones cae sobre el terreno de combate!;A shower of electrons falls on the battlefield!
¡{1} ha provocado un remolino!;¡{1} ha provocado un remolino!;{1} has caused a whirlpool!
¡{1} ha absorbido luz solar!;¡{1} ha absorbido luz solar!;{1} has absorbed sunlight!
¡{1} ha agachado la cabeza!;¡{1} ha agachado la cabeza!;{1} has bowed his head!
¡{1} se ha ocultado bajo tierra!;¡{1} se ha ocultado bajo tierra!;{1} has hidden underground!
¡{1} se ha ocultado bajo el agua!;¡{1} se ha ocultado bajo el agua!;{1} has hidden underwater!
¡{1} ha volado muy alto!;¡{1} ha volado muy alto!;{1} has flown very high!
¡{1} ha saltado muy alto!;¡{1} ha saltado muy alto!;{1} has jumped very high!
¡{1} se ha llevado al {2} enemigo por los aires!;¡{1} se ha llevado al {2} enemigo por los aires!;{1} has blown up the enemy {2}!
¡{1} desaparece en un abrir y cerrar de ojos!;¡{1} desaparece en un abrir y cerrar de ojos!;{1} disappears in the blink of an eye!
¡{1} se ha recuperado tras descansar un poco!;¡{1} se ha recuperado tras descansar un poco!;{1} has recovered after some rest!
!{1} echó raíces!;!{1} echó raíces!;!{1} took root!
¡{1} fue infectado!;¡{1} fue infectado!;{1} was infected!
¡{1} no puede usar {2} debido a la habilidad {4} del {3} rival!;¡{1} no puede usar {2} debido a la habilidad {4} del {3} rival!;{1} cannot use {2} due to the opponent's {3} ability {4}!
¡{1} intenta llevarse a su rival!;¡{1} intenta llevarse a su rival!;{1} tries to take his rival!
{1} quiere provocar Rabia a su rival!;{1} quiere provocar Rabia a su rival!;{1} wants to provoke Rage in his rival!
¡No se puede revivir un huevo!;¡No se puede revivir un huevo!;You can't revive an egg!
¡Este Pokémon no puede ser revivido!;¡Este Pokémon no puede ser revivido!;This Pokémon cannot be revived!
{1} robó {3} de {2}!;{1} robó {3} de {2}!;{1} stole {3} from {2}!
¡{1} recibió {2} de {3}!;¡{1} recibió {2} de {3}!;{1} received {2} from {3}!
¡El {2} de {1} ha sido incinerado!;¡El {2} de {1} ha sido incinerado!;The {2} of {1} has been incinerated!
¡{1} ha corroído el {3} de {2}!;¡{1} ha corroído el {3} de {2}!;{1} has corroded {3} of {2}!
¡{1} enemigo no puede usar objetos!;¡{1} enemigo no puede usar objetos!;{1} enemy cannot use items!
¡El área ha vuelto a la normalidad!;¡El área ha vuelto a la normalidad!;The area is back to normal!
¡Se ha creado un espacio en el que los efectos de los objetos desaparecen!;¡Se ha creado un espacio en el que los efectos de los objetos desaparecen!;A space has been created where the effects of objects disappear!
¡{1} no puede usar este movimiento porque no lleva una baya!;¡{1} no puede usar este movimiento porque no lleva una baya!;{1} can't use this move because he doesn't have a berry!
¡{1} reduce sus PS y maldice al {2} enemigo!;¡{1} reduce sus PS y maldice al {2} enemigo!;{1} reduces HP and curses the enemy {2}!
¡{1} reservó {2}!;¡{1} reservó {2}!;{1} booked {2}!
¡Pero no pudo escupir nada!;¡Pero no pudo escupir nada!;But he couldn't spit anything out!
¡Desaparecieron los efectos de la Reserva de {1}!;¡Desaparecieron los efectos de la Reserva de {1}!;The effects of the {1} Reserve have disappeared!
¡Pero no pudo tragar nada!;¡Pero no pudo tragar nada!;But he couldn't swallow anything!
¡El Movimiento Espejo ha fallado!;¡El Movimiento Espejo ha fallado!;The Mirror Movement has failed!
¡{1} ha vuelto con {2}!;¡{1} ha vuelto con {2}!;{1} is back with {2}!
¡{1} se está preparando para contar un chiste escalofriantemente malo!;¡{1} se está preparando para contar un chiste escalofriantemente malo!;{1} is getting ready to tell a chillingly bad joke!
¡{1} fue atrapado en el torbellino!;¡{1} fue atrapado en el torbellino!;{1} was caught in the whirlwind!
¡Atadura de {1} oprime a {2}!;¡Atadura de {1} oprime a {2}!;Binding of {1} oppresses {2}!
¡{1} fue atrapado en el torbellino de fuego!;¡{1} fue atrapado en el torbellino de fuego!;{1} was caught in the fiery whirlwind!
¡{1} es presa del acoso de {2}!;¡{1} es presa del acoso de {2}!;{1} is harassed by {2}!
¡{1} fue atrapado por {2}!;¡{1} fue atrapado por {2}!;{1} was caught by {2}!
No afecta al {1}...;No afecta al {1}...;Does not affect {1}...
¡{1} no puede escapar!;¡{1} no puede escapar!;{1} can't escape!
¡{1} no puede escapar debido a {2}!;¡{1} no puede escapar debido a {2}!;{1} can't escape because of {2}!
¡Ningún Pokémon puede huir!!;¡Ningún Pokémon puede huir!!;No Pokémon can run away!!
¡{1} ha decidido aceptar la oportunidad!;¡{1} ha decidido aceptar la oportunidad!;{1} has decided to accept the opportunity!
¡{1} ha retrasado su turno!;¡{1} ha retrasado su turno!;{1} has delayed his turn!
¡El movimiento {2} de {1} ha perdido 3 PP!;¡El movimiento {2} de {1} ha perdido 3 PP!;{1}'s move {2} has lost 3 PP!
¡El movimiento {2} de {1} ha perdido 4 PP!;¡El movimiento {2} de {1} ha perdido 4 PP!;{1}'s move {2} has lost 4 PP!
¡Se ha anulado el movimiento {2} del {1}!;¡Se ha anulado el movimiento {2} del {1}!;{1}'s {2} move has been canceled!
¡Pero ha fallado debido a {2} de {1}!;¡Pero ha fallado debido a {2} de {1}!;But it failed because of {2} of {1}!
¡{1} no puede curarse!;¡{1} no puede curarse!;{1} cannot be cured!
PS Máx.<r>#{hp_sign}{1}\nAtaque<r>#{atk_sign}{2}\nDefensa<r>#{def_sign}{3}\nAt. Esp.<r>#{spa_sign}{4}\nDef. Esp.<r>#{spd_sign}{5}\nVelocidad<r>#{spe_sign}{6};PS Máx.<r>#{hp_sign}{1}\nAtaque<r>#{atk_sign}{2}\nDefensa<r>#{def_sign}{3}\nAt. Esp.<r>#{spa_sign}{4}\nDef. Esp.<r>#{spd_sign}{5}\nVelocidad<r>#{spe_sign}{6};Max HP<r>#{hp_sign}{1}\nAttack<r>#{atk_sign}{2}\nDefense<r>#{def_sign}{3}\nAt. Esp.<r>#{spa_sign}{4}\nDef. Sp.<r>#{spd_sign}{5}\nSpeed<r>#{spe_sign}{6}
PS Máx.<r>{1}\nAtaque<r>{2}\nDefensa<r>{3}\nAt. Esp.<r>{4}\nDef. Esp.<r>{5}\nVelocidad<r>{6};PS Máx.<r>{1}\nAtaque<r>{2}\nDefensa<r>{3}\nAt. Esp.<r>{4}\nDef. Esp.<r>{5}\nVelocidad<r>{6};Max HP<r>{1}\nAttack<r>{2}\nDefense<r>{3}\nAt. Esp.<r>{4}\nDef. Spec.<r>{5}\nSpeed<r>{6}
Graphics/UI/Battle/cursor_command;Graphics/UI/Battle/cursor_command;Graphics/UI/Battle/cursor_command
Graphics/UI/Battle/cursor_fight;Graphics/UI/Battle/cursor_fight;Graphics/UI/Battle/cursor_fight
Graphics/UI/Battle/cursor_mega;Graphics/UI/Battle/cursor_mega;Graphics/UI/Battle/cursor_mega
Graphics/UI/Battle/cursor_shift;Graphics/UI/Battle/cursor_shift;Graphics/UI/Battle/cursor_shift
PP: ---<br>TIPO/{1};PP: ---<br>TIPO/{1};PP: ---<br>TYPE/{1}
PP: {1}/{2};PP: {1}/{2};PP: {1}/{2}
Graphics/UI/Battle/databox_normal_foe_percent;Graphics/UI/Battle/databox_normal_foe_percent;Graphics/UI/Battle/databox_normal_foe_percent
Graphics/UI/Battle/databox_normal_foe;Graphics/UI/Battle/databox_normal_foe;Graphics/UI/Battle/databox_normal_foe
Graphics/UI/Battle/databox_normal;Graphics/UI/Battle/databox_normal;Graphics/UI/Battle/databox_normal
Graphics/UI/Battle/databox_thin_foe_percent;Graphics/UI/Battle/databox_thin_foe_percent;Graphics/UI/Battle/databox_thin_foe_percent
Graphics/UI/Battle/databox_thin_foe;Graphics/UI/Battle/databox_thin_foe;Graphics/UI/Battle/databox_thin_foe
Graphics/UI/Battle/databox_thin;Graphics/UI/Battle/databox_thin;Graphics/UI/Battle/databox_thin
Graphics/UI/Battle/overlay_lv;Graphics/UI/Battle/overlay_lv;Graphics/UI/Battle/overlay_lv
de {1};de {1};from {1}
Añadir al equipo;Añadir al equipo;Add to team
Enviarlo al PC;Enviarlo al PC;Send it to PC
Has enviado a {1} a la Caja \;Has enviado a {1} a la Caja \;You have sent {1} to the Checkout \
¡{1} se ha enviado a la Caja \;¡{1} se ha enviado a la Caja \;{1} has been sent to the Checkout\
¡El Entrenador bloqueó tu {1}! ¡Robar está mal!;¡El Entrenador bloqueó tu {1}! ¡Robar está mal!;Coach blocked your {1}! Stealing is wrong!
¡Oh, no! ¡El Pokémon se ha escapado!;¡Oh, no! ¡El Pokémon se ha escapado!;Oh no! The Pokémon has escaped!
